SDF_ID,county,year,month,sale_date,sale_price,dom_reported,data_year,zip_code,price_segment
C06-2021-0025561,Boone,2021,1,2021-01-25,234160.0,0,2021,46052,entry
C06-2021-0025562,Boone,2021,1,2021-01-22,350400.0,0,2021,46077,entry
C06-2021-0025563,Boone,2021,1,2021-01-20,264633.0,0,2021,46075,entry
C06-2021-0025564,Boone,2021,1,2021-01-21,315000.0,0,2021,46077,entry
C06-2021-0025564,Boone,2021,1,2021-01-21,315000.0,0,2021,46077,entry
C06-2021-0025565,Boone,2021,1,2021-01-25,300750.0,0,2021,46075,entry
C06-2021-0025567,Boone,2021,1,2021-01-25,140000.0,0,2021,46052,entry
C06-2021-0025569,Boone,2021,1,2021-01-22,899000.0,0,2021,46077,move_up
C06-2021-0025571,Boone,2021,1,2021-01-26,215000.0,0,2021,46052,entry
C06-2021-0025572,Boone,2021,1,2021-01-26,250000.0,0,2021,46052,entry
C06-2021-0025573,Boone,2021,1,2021-01-25,350000.0,0,2021,46075,entry
C06-2021-0025574,Boone,2021,1,2021-01-26,220100.0,0,2021,46077,entry
C06-2021-0025575,Boone,2021,1,2021-01-15,315000.0,0,2021,46077,entry
C06-2021-0025576,Boone,2021,1,2021-01-14,324900.0,0,2021,46077,entry
C06-2021-0025578,Boone,2021,1,2021-01-22,330000.0,0,2021,46075,entry
C06-2021-0025579,Boone,2021,1,2021-01-27,372985.0,0,2021,46077,entry
C06-2021-0025580,Boone,2021,1,2021-01-14,321960.0,0,2021,46075,entry
C06-2021-0025581,Boone,2021,1,2021-01-27,312190.0,0,2021,46077,entry
C06-2021-0025582,Boone,2021,1,2021-01-25,335000.0,0,2021,46077,entry
C06-2021-0025583,Boone,2021,1,2021-01-28,298000.0,25,2021,46052,entry
C06-2021-0025585,Boone,2021,1,2021-01-22,249691.0,0,2021,46075,entry
C06-2021-0025586,Boone,2021,1,2021-01-21,274503.0,0,2021,46075,entry
C06-2021-0025587,Boone,2021,1,2021-01-27,414995.0,0,2021,46077,move_up
C06-2021-0025588,Boone,2021,1,2021-01-27,184854.0,0,2021,46052,entry
C06-2021-0025589,Boone,2021,1,2021-01-26,233000.0,0,2021,46052,entry
C06-2021-0025590,Boone,2021,1,2021-01-22,135000.0,0,2021,46052,entry
C06-2021-0025591,Boone,2021,1,2021-01-20,245000.0,0,2021,46077,entry
C06-2021-0025592,Boone,2021,1,2021-01-22,391347.0,0,2021,46075,move_up
C06-2021-0025593,Boone,2021,1,2021-01-26,435000.0,0,2021,46077,move_up
C06-2021-0025595,Boone,2021,1,2021-01-25,464840.0,0,2021,46077,move_up
C06-2021-0025597,Boone,2021,1,2021-01-27,170000.0,0,2021,46052,entry
C06-2021-0025599,Boone,2021,1,2021-01-25,235000.0,0,2021,46077,entry
C06-2021-0025600,Boone,2021,1,2021-01-29,52000.0,0,2021,46052,entry
C06-2021-0025601,Boone,2021,1,2021-01-25,235000.0,0,2021,46077,entry
C06-2021-0025602,Boone,2021,1,2021-01-27,100000.0,15,2021,46071,entry
C06-2021-0025603,Boone,2021,1,2021-01-29,675000.0,0,2021,46077,move_up
