zip_code,county,median_sale_price,transactions,pct_move_up,zcta_hhi,monthly_payment,afford_ratio_zip,afford_stressed_zip
46030,Hamilton,200000,467,13.9186295503212,91927,978.9123522967561,0.12778561497232668,0
46031,Hamilton,198240,294,10.54421768707483,73583,970.2979235965446,0.15823729778832793,0
46032,Hamilton,458137.5,11146,56.69298403014535,123438,2242.3822890017755,0.21799273698554178,0
46033,Hamilton,470000,8078,70.24015845506314,150529,2300.444027897377,0.18338877116547989,0
46034,Hamilton,319950,2052,29.775828460038987,90795,1566.0150355867356,0.2069737367370541,0
46035,Boone,244000,11,18.181818181818183,NA,1194.2730698020423,NA,NA
46037,Hamilton,399900,9843,53.60154424464086,137969,1957.3352484173638,0.17024130769236834,0
46038,Hamilton,326000,7179,25.39350884524307,105092,1595.6271342437124,0.1821977468401453,0
46040,Hamilton,525828,4226,71.91197349739707,144834,2573.6976219174935,0.2132397880539785,0
46050,Boone,350000,13,46.15384615384615,NA,1713.096616519323,NA,NA
46052,Boone,230000,3563,14.426045467302831,66828,1125.7492051412696,0.2021456644175381,0
46055,Hamilton,620000,678,70.20648967551622,116811,3034.628292119944,0.3117475195438728,1
46060,Hamilton,314900,11295,28.764940239043824,91141,1541.2974986912425,0.2029335862487235,0
46062,Hamilton,375000,10970,46.90975387420237,116834,1835.4606605564177,0.1885198480466047,0
46069,Boone,307000,114,28.947368421052634,70784,1502.6304607755205,0.2547406974642044,0
46069,Hamilton,269900,3337,11.866946359005096,70784,1321.0422194244725,0.22395607246120125,0
46071,Boone,217800,324,20.98765432098765,81755,1066.0355516511675,0.15647271261469034,0
46074,Hamilton,406000,28169,54.020377010188504,123580,1987.192075162415,0.19296249313763536,0
46075,Boone,344412.5,3624,31.59492273730684,118839,1685.7482526770325,0.1702217204126961,0
46077,Boone,515000,4453,59.8248371884123,160868,2520.699307164147,0.18803237241694906,0
46077,Hamilton,690000,406,54.43349753694581,160868,3377.2476154238084,0.2519268678984366,0
46077,Marion,420000,28,57.14285714285714,160868,2055.715939823188,0.15334678915557012,0
46102,Boone,172500,76,0,65000,844.3119038559521,0.15587296686571422,0
46103,Hendricks,167500,47,0,76875,819.8390950485333,0.12797488312952715,0
46106,Johnson,388797.5,2240,49.28571428571429,106914,1902.9933764604903,0.21359148958532917,0
46107,Marion,172000,1442,0.5547850208044383,57377,841.8646229752103,0.1760701234937784,0
46112,Boone,223500,10,10,113293,1093.934553691625,0.11586960045456912,0
46112,Hendricks,335000,8081,37.54485830961515,113293,1639.6781900970666,0.17367479262765395,0
46113,Hendricks,219750,164,3.658536585365854,85510,1075.5799470860609,0.15094093515416596,0
46113,Marion,255000,1203,5.320033250207814,85510,1248.113249178364,0.1751533035918649,0
